percentile,satiety,density
0,0.5000,-884.5460
1,0.7343,-24.3875
2,1.2033,-15.1693
3,1.2843,-10.3559
4,1.3380,-7.8193
5,1.3927,-5.7939
6,1.4364,-4.3751
7,1.4617,-2.3821
8,1.4895,-1.2185
9,1.5176,-0.2067
10,1.5494,0.2220
11,1.5933,0.7550
12,1.6329,1.3104
13,1.6681,1.9448
14,1.7025,2.7390
15,1.7279,3.4228
16,1.7560,3.9620
17,1.7819,4.4755
18,1.8034,4.9009
19,1.8360,5.4995
20,1.8670,6.2435
21,1.8866,6.8826
22,1.9093,7.3793
23,1.9287,7.7515
24,1.9468,8.3335
25,1.9635,8.7918
26,1.9832,9.1937
27,2.0007,9.5750
28,2.0166,10.0103
29,2.0337,10.4466
30,2.0460,10.9142
31,2.0603,11.1990
32,2.0760,11.6558
33,2.0921,11.9552
34,2.1049,12.3823
35,2.1170,12.7568
36,2.1293,13.1002
37,2.1418,13.4510
38,2.1560,13.9224
39,2.1690,14.2626
40,2.1857,14.5815
41,2.2050,14.9681
42,2.2189,15.4235
43,2.2330,15.9047
44,2.2439,16.2819
45,2.2540,16.6339
46,2.2629,17.1804
47,2.2730,17.5729
48,2.2847,18.0054
49,2.2949,18.3633
50,2.3037,18.8242
51,2.3174,19.4476
52,2.3315,19.9105
53,2.3457,20.5383
54,2.3636,21.0731
55,2.3776,21.4991
56,2.3959,21.9230
57,2.4139,22.3826
58,2.4310,22.8612
59,2.4498,23.5085
60,2.4665,23.9657
61,2.4905,24.6461
62,2.5084,25.2769
63,2.5280,26.0438
64,2.5486,26.8199
65,2.5717,27.4446
66,2.5987,28.2279
67,2.6250,29.1357
68,2.6537,29.9354
69,2.6823,30.7392
70,2.7118,31.6235
71,2.7441,32.7675
72,2.7721,33.6326
73,2.7974,34.6709
74,2.8280,36.0080
75,2.8612,37.0955
76,2.8944,38.3867
77,2.9098,39.9612
78,2.9400,41.2778
79,2.9650,42.6106
80,2.9977,44.2278
81,3.0387,46.1063
82,3.0708,48.5439
83,3.1202,51.3603
84,3.1649,53.9501
85,3.2179,56.1944
86,3.2766,59.5490
87,3.3459,62.2414
88,3.3954,67.4379
89,3.4728,74.0269
90,3.5420,81.5026
91,3.6584,91.5436
92,3.7758,100.2034
93,3.8878,111.0836
94,4.1420,122.3264
95,4.4418,134.5650
96,4.4736,148.1418
97,4.4841,174.3396
98,4.5140,211.3977
99,4.5451,251.8485
100,4.6769,535.6610
