# Measured leucine share of protein, per WWEIA category, from the SR Legacy amino acid
# data reached through each FNDDS food's own recipe. Replaces the guessed 8.8%/7.1%.
# Generated by tools/LeucineJoinQuery. Do not edit by hand.
category,share,foods
"Apples",0.05882,6
"Baby food: cereals",0.07956,8
"Baby food: meat and dinners",0.08584,5
"Baby food: snacks and sweets",0.04725,6
"Baby food: vegetables",0.06500,8
"Bacon",0.08036,8
"Bagels and English muffins",0.06851,15
"Bean, pea, legume dishes",0.07187,3
"Beans, peas, legumes",0.07991,52
"Beef, excludes ground",0.08276,24
"Biscuits, muffins, quick breads",0.09061,6
"Blueberries and other berries",0.05949,4
"Broccoli",0.04626,12
"Burgers",0.07816,6
"Burritos and tacos",0.07144,15
"Butter and animal fats",0.08936,6
"Cabbage",0.03217,11
"Cakes and pies",0.07463,45
"Candy containing chocolate",0.06952,5
"Candy not containing chocolate",0.06560,3
"Carrots",0.10953,18
"Cereal bars",0.07168,19
"Cheese",0.09580,27
"Cheese sandwiches",0.08472,4
"Chicken fillet sandwiches",0.06233,9
"Chicken patties, nuggets and tenders",0.07449,6
"Chicken, whole pieces",0.08166,106
"Citrus fruits",0.02419,7
"Citrus juice",0.02014,4
"Coffee",0.04545,13
"Cold cuts and cured meats",0.07833,25
"Cookies and brownies",0.06800,56
"Corn",0.10642,19
"Cottage/ricotta cheese",0.10096,11
"Crackers, excludes saltines",0.06978,41
"Cream and cream substitutes",0.08243,11
"Cream cheese, sour cream, whipped cream",0.10795,6
"Deli and cured meat sandwiches",0.08199,16
"Dips, gravies, other sauces",0.08429,25
"Doughnuts, sweet rolls, pastries",0.07387,27
"Dried fruits",0.04453,8
"Egg rolls, dumplings, sushi",0.05076,5
"Egg/breakfast sandwiches",0.07414,27
"Eggs and omelets",0.08651,132
"Fish",0.08105,94
"Frankfurter sandwiches",0.07572,9
"French fries and other fried white potatoes",0.07434,25
"Fried rice and lo/chow mein",0.08272,5
"Fruit drinks",0.04845,4
"Gelatins, ices, sorbets",0.03197,3
"Ground beef",0.07789,4
"Ice cream and frozen dairy desserts",0.08897,10
"Jams, syrups, toppings",0.08997,10
"Lamb, goat, game",0.07902,15
"Lettuce and lettuce salads",0.05537,8
"Liquor and cocktails",0.05623,6
"Liver and organ meats",0.08955,3
"Mango and papaya",0.06098,5
"Mashed potatoes and white potato mixtures",0.08472,10
"Mayonnaise",0.08632,6
"Meat mixed dishes",0.07734,128
"Melons",0.03064,4
"Milk shakes and other dairy drinks",0.10034,5
"Milk, nonfat",0.09466,3
"Milk, reduced fat",0.09485,4
"Milk, whole",0.09492,6
"Mustard and other condiments",0.05273,13
"Not included in a food category",0.06804,41
"Nutrition bars",0.07760,5
"Nuts and seeds",0.06982,64
"Oatmeal",0.08067,8
"Olives, pickles, pickled vegetables",0.05200,21
"Onions",0.04739,6
"Other dark green vegetables",0.06973,31
"Other fruit juice",0.04159,4
"Other fruits and fruit salads",0.04400,15
"Other Mexican mixed dishes",0.08172,19
"Other red and orange vegetables",0.05152,11
"Other starchy vegetables",0.05959,31
"Other vegetables and combinations",0.05676,103
"Pancakes, waffles, French toast",0.08651,20
"Pasta mixed dishes, excludes macaroni and cheese",0.07483,72
"Pasta sauces, tomato-based",0.08429,3
"Pasta, noodles, cooked grains",0.06828,11
"Peaches and nectarines",0.02967,5
"Peanut butter and jelly sandwiches",0.06982,8
"Pears",0.04868,4
"Pineapple",0.04199,4
"Pizza",0.08199,27
"Plant-based milk",0.07424,3
"Popcorn",0.11395,15
"Pork",0.08217,19
"Potato chips",0.08092,5
"Poultry mixed dishes",0.08024,28
"Pretzels/snack mix",0.07238,16
"Ramen and Asian broth-based soups",0.06815,6
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",0.08098,17
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",0.07704,18
"Rice mixed dishes",0.07978,5
"Rolls and buns",0.06886,14
"Salad dressings and vegetable oils",0.05610,9
"Saltine crackers",0.06892,4
"Sausages",0.07370,12
"Seafood mixed dishes",0.07973,32
"Shellfish",0.07318,32
"Smoothies and grain drinks",0.06239,6
"Soups, broth-based",0.07251,18
"Soups, cream-based",0.07805,8
"Soy and meat-alternative products",0.07436,8
"Soy-based condiments",0.06575,5
"Spinach",0.07794,12
"Stir-fry and soy-based sauce mixtures",0.07117,22
"Strawberries",0.05116,3
"String beans",0.06120,19
"Tomatoes",0.03129,4
"Tortilla, corn, other chips",0.11970,19
"Tortillas",0.07297,6
"Turkey, duck, other poultry",0.06944,38
"Turnovers and other grain-based items",0.07886,4
"Vegetable dishes",0.07707,4
"Vegetable juice",0.03577,4
"Vegetable sandwiches/burgers",0.06967,5
"White potatoes, baked or boiled",0.06020,26
"Yeast breads",0.06915,35
"Yogurt, regular",0.10081,6
