# The portion FNDDS calls typical for each food, in grams. Generated by
# tools/TypicalPortionQuery. Do not edit by hand.
# Source: "stated" is the catalogue's own Quantity-not-specified amount;
# "median" is the middle of the portions it does list, for foods with no default.
# The grade is NOT computed on this. A letter is per 100 g and does not move with
# how much was eaten (ComponentStrategy). This is what the product shows beside it.
FdcId,Grams,Source,Description
2705383,246,median,"Milk, human"
2705384,244,stated,"Milk, NFS"
2705385,244,stated,"Milk, whole"
2705386,244,stated,"Milk, reduced fat (2%)"
2705387,244,stated,"Milk, low fat (1%)"
2705388,244,stated,"Milk, fat free (skim)"
2705389,244,stated,"Milk, lactose free, low fat (1%)"
2705390,244,stated,"Milk, lactose free, fat free (skim)"
2705391,244,stated,"Milk, lactose free, reduced fat (2%)"
2705392,244,stated,"Milk, lactose free, whole"
2705393,244,stated,"Buttermilk"
2705394,244,stated,"Kefir"
2705395,244,stated,"Goat milk"
2705396,244,stated,"Milk, dry, reconstituted, nonfat"
2705397,244,stated,"Milk, dry, reconstituted, whole"
2705398,16,stated,"Milk, evaporated, NS as to fat content"
2705399,16,stated,"Milk, evaporated, whole"
2705400,16,stated,"Milk, evaporated, reduced fat (2%)"
2705401,16,stated,"Milk, evaporated, fat free (skim)"
2705402,19,stated,"Milk, condensed, sweetened"
2705403,244,stated,"Non-dairy milk, NFS"
2705404,244,stated,"Soy milk, sweetened"
2705405,244,stated,"Soy milk, unsweetened"
2705406,244,stated,"Soy milk, chocolate"
2705407,244,stated,"Almond milk, sweetened"
2705408,244,stated,"Almond milk, chocolate"
2705409,244,stated,"Almond milk, unsweetened"
2705410,244,stated,"Almond milk, NFS"
2705411,244,stated,"Rice milk"
2705412,244,stated,"Oat milk"
2705413,244,stated,"Coconut milk"
2705414,170,stated,"Yogurt, NFS"
2705415,150,stated,"Yogurt, Greek, NS as to type of milk or flavor"
2705416,170,stated,"Yogurt, NS as to type of milk or flavor"
2705417,170,stated,"Yogurt, NS as to type of milk, plain"
2705418,170,stated,"Yogurt, whole milk, plain"
2705419,170,stated,"Yogurt, low fat milk, plain"
2705420,170,stated,"Yogurt, nonfat milk, plain"
2705421,150,stated,"Yogurt, Greek, NS as to type of milk, plain"
2705422,150,stated,"Yogurt, Greek, whole milk, plain"
2705423,150,stated,"Yogurt, Greek, low fat milk, plain"
2705424,150,stated,"Yogurt, Greek, nonfat milk, plain"
2705425,170,stated,"Yogurt, NS as to type of milk, fruit"
2705426,170,stated,"Yogurt, whole milk, fruit"
2705427,170,stated,"Yogurt, low fat milk, fruit"
2705428,170,stated,"Yogurt, nonfat milk, fruit"
2705429,150,stated,"Yogurt, Greek, NS as to type of milk, fruit"
2705430,150,stated,"Yogurt, Greek, whole milk, fruit"
2705431,150,stated,"Yogurt, Greek, low fat milk, fruit"
2705432,150,stated,"Yogurt, Greek, nonfat milk, fruit"
2705433,170,stated,"Yogurt, NS as to type of milk, flavors other than fruit"
2705434,170,stated,"Yogurt, whole milk, flavors other than fruit"
2705435,170,stated,"Yogurt, low fat milk, flavors other than fruit"
2705436,170,stated,"Yogurt, nonfat milk, flavors other than fruit"
2705437,150,stated,"Yogurt, Greek, NS as to type of milk, flavors other than fruit"
2705438,150,stated,"Yogurt, Greek, whole milk, flavors other than fruit"
2705439,150,stated,"Yogurt, Greek, low fat milk, flavors other than fruit"
2705440,150,stated,"Yogurt, Greek, nonfat milk, flavors other than fruit"
2705441,150,stated,"Yogurt, Greek, with oats"
2705442,150,stated,"Yogurt, liquid"
2705443,75,stated,"Yogurt tube"
2705444,60,stated,"Chipotle dip, yogurt based"
2705445,60,stated,"Onion dip, yogurt based"
2705446,60,stated,"Ranch dip, yogurt based"
2705447,60,stated,"Spinach dip, yogurt based"
2705448,60,stated,"Tzatziki dip"
2705449,60,stated,"Vegetable dip, yogurt based"
2705450,150,stated,"Yogurt parfait, with fruit"
2705451,175,stated,"Frozen yogurt, NFS"
2705452,175,stated,"Frozen yogurt, vanilla"
2705453,175,stated,"Frozen yogurt, chocolate"
2705454,175,stated,"Frozen yogurt, soft serve, vanilla"
2705455,175,stated,"Frozen yogurt, soft serve, chocolate"
2705456,75,stated,"Frozen yogurt sandwich"
2705457,65,stated,"Frozen yogurt bar, vanilla"
2705458,65,stated,"Frozen yogurt bar, chocolate"
2705459,125,stated,"Frozen yogurt cone, chocolate"
2705460,125,stated,"Frozen yogurt cone, vanilla"
2705461,255,stated,"Frozen yogurt cone, vanilla, waffle cone"
2705462,255,stated,"Frozen yogurt cone, chocolate, waffle cone"
2705463,110,stated,"Baby Toddler food, NFS"
2705464,110,stated,"Baby Toddler yogurt, plain"
2705465,110,stated,"Baby Toddler yogurt, with fruit"
2705466,248,stated,"Chocolate milk, NFS"
2705467,248,stated,"Chocolate milk, whole"
2705468,248,stated,"Chocolate milk, reduced fat (2%)"
2705469,248,stated,"Chocolate milk, fat free (skim)"
2705470,248,stated,"Chocolate milk, low fat (1%)"
2705471,248,stated,"Chocolate milk, reduced sugar, NFS"
2705472,248,stated,"Hot chocolate / cocoa, NFS"
2705473,248,stated,"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk"
2705474,248,stated,"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk"
2705475,248,stated,"Hot chocolate / cocoa, made with non-dairy milk"
2705476,248,stated,"Hot chocolate / cocoa, with whipped cream"
2705477,248,stated,"Chocolate milk, Nesquik, NS as to type of milk"
2705478,248,stated,"Chocolate milk, Nesquik, made with non-dairy milk"
2705479,248,stated,"Chocolate milk, reduced sugar, whole"
2705480,248,stated,"Chocolate milk, reduced sugar, reduced fat (2%)"
2705481,248,stated,"Chocolate milk, reduced sugar, low fat (1%)"
2705482,248,stated,"Chocolate milk, reduced sugar, fat free (skim)"
2705483,248,stated,"Hot chocolate / cocoa, dry mix, made with water"
2705484,248,stated,"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk"
2705485,248,stated,"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk"
2705486,248,stated,"Hot chocolate / cocoa, dry mix , made with non-dairy milk"
2705487,248,stated,"Hot chocolate / cocoa, dry mix, made with water, with whipped cream"
2705488,248,stated,"Hot chocolate / cocoa, dry mix, reduced sugar, made with water"
2705489,248,stated,"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk"
2705490,248,stated,"Hot chocolate / cocoa, reduced sugar, made with non-dairy milk"
2705491,248,stated,"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk"
2705492,248,stated,"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk"
2705493,248,stated,"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk"
2705494,248,stated,"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk"
2705495,248,stated,"Strawberry milk, NFS"
2705496,248,stated,"Strawberry milk, whole"
2705497,248,stated,"Strawberry milk, reduced fat (2%)"
2705498,248,stated,"Strawberry milk, low fat (1%)"
2705499,248,stated,"Strawberry milk, fat free  (skim)"
2705500,248,stated,"Strawberry milk, reduced sugar"
2705501,256,stated,"Milk, malted"
2705502,256,stated,"Eggnog"
2705503,280,stated,"Milk shake, home recipe, chocolate"
2705504,280,stated,"Milk shake, home recipe, flavors other than chocolate"
2705505,280,stated,"Milk shake, home recipe, chocolate, light"
2705506,280,stated,"Milk shake, home recipe, flavors other than chocolate, light"
2705507,280,stated,"Milk shake with malt"
2705508,405,stated,"Milk shake, fast food, chocolate"
2705509,405,stated,"Milk shake, fast food, flavors other than chocolate"
2705510,372,stated,"Milk shake, bottled, chocolate"
2705511,372,stated,"Milk shake, bottled, flavors other than chocolate"
2705512,324,stated,"Licuado or Batido"
2705513,324,stated,"Fruit smoothie, NFS"
2705514,324,stated,"Fruit smoothie, with whole fruit and dairy"
2705515,324,stated,"Fruit smoothie, with whole fruit and dairy, added protein"
2705516,324,stated,"Fruit smoothie juice drink, with dairy"
2705517,248,stated,"Chocolate milk drink"
2705518,30.5,median,"Infant formula, NFS"
2705519,30.5,median,"Infant formula, Similac, NFS"
2705520,30.5,median,"Infant formula, Similac Alimentum, ready-to-feed"
2705521,30.5,median,"Infant formula, Similac Alimentum, powder, made with water"
2705522,30.5,median,"Infant formula, Similac Advance, ready-to-feed"
2705523,30.5,median,"Infant formula, Similac Advance, powder, made with tap water"
2705524,30.5,median,"Infant formula, Similac Advance, powder, made with bottled water"
2705525,30.5,median,"Infant formula, Similac Advance, powder, made with baby water"
2705526,30.5,median,"Infant formula, Similac Sensitive, ready-to-feed"
2705527,30.5,median,"Infant formula, Similac Sensitive, powder, made with tap water"
2705528,30.5,median,"Infant formula, Similac Sensitive, powder, made with bottled water"
2705529,30.5,median,"Infant formula, Similac Sensitive, powder, made with baby water"
2705530,30.5,median,"Infant formula, Similac for Spit-Up, ready-to-feed"
2705531,30.5,median,"Infant formula, Similac for Spit-Up, powder, made with water"
2705532,30.5,median,"Toddler formula, Similac Go and Grow"
2705533,30.5,median,"Infant formula, Enfamil, NFS"
2705534,30.5,median,"Infant formula, Enfamil Infant, ready-to-feed"
2705535,30.5,median,"Infant formula, Enfamil Infant, powder, made with tap water"
2705536,30.5,median,"Infant formula, Enfamil Infant, powder, made with bottled water"
2705537,30.5,median,"Infant formula, Enfamil Infant, powder, made with baby water"
2705538,30.5,median,"Infant formula, Enfamil AR, ready-to-feed"
2705539,30.5,median,"Infant formula, Enfamil AR, powder, made with water"
2705540,30.5,median,"Infant formula, Enfamil Gentlease, ready-to-feed"
2705541,30.5,median,"Infant formula, Enfamil Gentlease, powder, made with tap water"
2705542,30.5,median,"Infant formula, Enfamil Gentlease, powder, made with bottled water"
2705543,30.5,median,"Infant formula, Enfamil Gentlease, powder, made with baby water"
2705544,30.5,median,"Toddler formula, Enfamil Enfagrow"
2705545,248,median,"Toddler formula, PediaSure"
2705546,30.5,median,"Toddler formula, Nido Kinder"
2705547,30.5,median,"Toddler formula, store brand, beginning or next stage"
2705548,248,median,"Toddler formula, store brand, pediatric shake"
2705549,30.5,median,"Infant formula, Gerber, NFS"
2705550,30.5,median,"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed"
2705551,30.5,median,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water"
2705552,30.5,median,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water"
2705553,30.5,median,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water"
2705554,30.5,median,"Infant formula, Gerber Good Start Gentle, Stage 2"
2705555,30.5,median,"Toddler formula, Gerber Good Start, Stage 3"
2705556,30.5,median,"Infant formula, premature, powder, made with water"
2705557,30.5,median,"Infant formula, premature, ready-to-feed"
2705558,30.5,median,"Infant formula, organic, powder, made with water"
2705559,30.5,median,"Infant formula, organic, ready-to-feed"
2705560,30.5,median,"Infant formula, store brand, advantage or tender, powder, made with tap water"
2705561,30.5,median,"Infant formula, store brand, advantage or tender, powder, made with bottled water"
2705562,30.5,median,"Infant formula, store brand, advantage or tender, powder, made with baby water"
2705563,30.5,median,"Infant formula, store brand, gentle or sensitivity"
2705564,30.5,median,"Infant formula, store brand, added rice"
2705565,30.5,median,"Infant formula, Enfamil ProSobee, ready-to-feed"
2705566,30.5,median,"Infant formula, Enfamil ProSobee, powder, made with tap water"
2705567,30.5,median,"Infant formula, Enfamil ProSobee, powder, made with bottled water"
2705568,30.5,median,"Infant formula, Enfamil ProSobee, powder, made with baby water"
2705569,30.5,median,"Infant formula, Similac Isomil Soy, ready-to-feed"
2705570,30.5,median,"Infant formula, Similac Isomil Soy, powder, made with tap water"
2705571,30.5,median,"Infant formula, Similac Isomil Soy, powder, made with bottled water"
2705572,30.5,median,"Infant formula, Similac Isomil Soy, powder, made with baby water"
2705573,30.5,median,"Infant formula, Similac for Diarrhea"
2705574,30.5,median,"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed"
2705575,30.5,median,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water"
2705576,30.5,median,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water"
2705577,30.5,median,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water"
2705578,30.5,median,"Infant formula, store brand, soy"
2705579,30.5,median,"Infant formula, Enfamil Nutramigen, ready-to-feed"
2705580,30.5,median,"Infant formula, Enfamil Nutramigen, powder, made with water"
2705581,30.5,median,"Infant formula, Enfamil Pregestimil, ready-to-feed"
2705582,30.5,median,"Infant formula, Enfamil Pregestimil, powder, made with water"
2705583,30.5,median,"Infant formula, amino acids"
2705584,30.5,median,"Infant formula, low iron"
2705585,43,stated,"Milk, dry, not reconstituted"
2705586,8,stated,"Whey, sweet, dry"
2705587,5,stated,"Cocoa powder, not reconstituted"
2705588,20,stated,"Chocolate beverage powder, dry mix, not reconstituted"
2705589,20,stated,"Chocolate beverage powder, light, dry mix, not reconstituted"
2705590,11,stated,"Milk, malted, dry mix, not reconstituted"
2705591,20,stated,"Strawberry beverage powder, dry mix, not reconstituted"
2705592,20,stated,"Cream, NS as to light, heavy, or half and half"
2705593,20,stated,"Cream, light"
2705594,20,stated,"Cream, half and half"
2705595,30,stated,"Cream, half and half, flavored"
2705596,30,stated,"Cream, half and half, fat free"
2705597,20,stated,"Cream, heavy"
2705598,20,stated,"Cream, whipped"
2705599,20,stated,"Coffee creamer, NFS"
2705600,20,stated,"Coffee creamer, liquid"
2705601,20,stated,"Coffee creamer, liquid, flavored"
2705602,20,stated,"Coffee creamer, liquid, fat free"
